Wiek;Płeć;5 km Czas;Czas
41.0;M;1398.0;5848.0
20.0;M;1378.0;5850.0
45.0;M;1359.0;5850.0
46.0;M;1317.0;5851.0
54.0;M;1366.0;5852.0
31.0;M;1316.0;5854.0
45.0;M;1337.0;5855.0
32.0;M;1273.0;5855.0
41.0;M;1294.0;5856.0
51.0;M;1331.0;5856.0
40.0;M;1330.0;5857.0
41.0;M;1394.0;5859.0
38.0;M;1343.0;5861.0
27.0;M;1313.0;5863.0
47.0;M;1384.0;5863.0
47.0;M;1366.0;5864.0
28.0;M;1329.0;5866.0
33.0;K;1325.0;5867.0
36.0;M;1373.0;5868.0
48.0;M;1371.0;5868.0
33.0;M;1355.0;5869.0
40.0;K;1335.0;5870.0
47.0;K;1318.0;5870.0
46.0;M;1314.0;5871.0
27.0;M;1346.0;5873.0
26.0;M;1362.0;5874.0
47.0;M;1321.0;5874.0
33.0;M;1261.0;5876.0
43.0;M;1350.0;5876.0
32.0;M;1376.0;5877.0
41.0;M;1386.0;5879.0
37.0;M;1385.0;5879.0
48.0;M;1132.0;5880.0
26.0;M;1285.0;5880.0
49.0;M;1371.0;5880.0
29.0;M;1385.0;5880.0
20.0;M;1361.0;5881.0
48.0;M;1362.0;5881.0
40.0;M;1286.0;5882.0
43.0;M;1305.0;5884.0
36.0;M;1345.0;5885.0
54.0;M;1309.0;5885.0
35.0;K;1374.0;5886.0
34.0;M;1349.0;5886.0
34.0;M;1364.0;5886.0
42.0;M;1418.0;5887.0
37.0;M;1375.0;5887.0
38.0;M;1368.0;5887.0
49.0;M;1323.0;5888.0
29.0;M;1383.0;5888.0
45.0;M;1299.0;5889.0
43.0;M;1369.0;5889.0
40.0;M;1309.0;5890.0
38.0;M;1400.0;5890.0
23.0;M;1290.0;5891.0
28.0;M;1527.0;5892.0
34.0;M;1357.0;5892.0
45.0;M;1365.0;5892.0
51.0;M;1335.0;5892.0
33.0;M;1478.0;5894.0
27.0;K;1412.0;5895.0
42.0;M;1334.0;5896.0
35.0;M;1390.0;5896.0
38.0;M;1349.0;5896.0
44.0;M;1380.0;5897.0
38.0;K;1300.0;5897.0
42.0;M;1411.0;5898.0
38.0;M;1383.0;5899.0
36.0;M;1386.0;5900.0
47.0;M;1286.0;5900.0
51.0;M;1416.0;5901.0
42.0;M;1399.0;5901.0
41.0;M;1341.0;5901.0
44.0;M;1372.0;5901.0
42.0;M;1353.0;5902.0
36.0;M;1314.0;5902.0
27.0;M;1262.0;5902.0
33.0;M;1298.0;5903.0
36.0;K;1412.0;5903.0
35.0;M;1384.0;5903.0
23.0;M;1371.0;5903.0
33.0;M;1410.0;5903.0
28.0;M;1365.0;5904.0
29.0;M;1182.0;5905.0
32.0;M;1385.0;5906.0
54.0;M;1350.0;5907.0
31.0;M;1252.0;5907.0
38.0;M;1385.0;5907.0
52.0;M;1337.0;5909.0
38.0;K;1397.0;5909.0
36.0;M;1346.0;5910.0
30.0;M;1411.0;5911.0
37.0;M;1289.0;5912.0
49.0;M;1369.0;5912.0
40.0;M;1379.0;5912.0
34.0;M;1375.0;5912.0
43.0;M;1357.0;5912.0
23.0;M;1371.0;5913.0
30.0;M;1349.0;5914.0
47.0;M;1330.0;5914.0
39.0;M;1382.0;5914.0
31.0;M;1325.0;5916.0
32.0;M;1438.0;5916.0
44.0;M;1353.0;5917.0
39.0;M;1394.0;5919.0
30.0;M;1376.0;5919.0
39.0;M;1368.0;5919.0
26.0;M;1363.0;5919.0
41.0;M;1383.0;5919.0
39.0;M;1386.0;5920.0
32.0;M;1290.0;5920.0
47.0;M;1306.0;5921.0
